,edu,age,female,conspiracy,scandal,media_score,google,poltrust_score
268,2,40,0,0,1,47.125,50,34.3333333333333
269,2,24,1,0,0,66.25,100,83.3333333333333
270,2,44,1,0,0,38.75,40,36.8333333333333
271,1,60,1,0,1,66.25,90,82.5
272,2,23,1,1,0,72.5,90,80.0
273,0,43,0,0,1,50.0,50,63.3333333333333
274,2,36,1,0,1,16.875,25,1.33333333333333
275,2,63,1,1,0,17.5,20,25.0
276,2,23,0,1,1,40.0,80,8.83333333333333
277,3,29,1,1,1,52.5,40,33.3333333333333
278,2,23,1,0,1,20.625,0,46.6666666666667
279,1,53,1,0,0,26.875,30,24.8333333333333
280,3,44,1,1,1,52.5,50,55.0
281,2,30,1,0,0,34.375,45,34.0
282,2,34,1,1,0,55.625,50,38.3333333333333
283,3,40,0,0,1,19.375,1,35.5
284,2,36,1,0,0,47.5,30,35.0
285,1,61,1,0,0,52.5,90,78.0
286,3,46,0,1,0,51.5,85,39.6666666666667
287,2,38,1,0,0,51.25,55,60.8333333333333
288,3,26,1,0,1,30.625,30,16.3333333333333
289,3,32,1,1,1,58.125,90,70.8333333333333
290,3,39,0,1,1,52.875,50,65.6666666666667
291,2,44,1,0,0,78.0,80,73.3333333333333
292,3,39,0,1,1,37.5,50,35.0
293,2,47,1,1,0,39.375,50,62.5
294,2,52,1,1,1,65.625,75,58.3333333333333
295,1,35,0,1,0,61.25,75,40.6666666666667
296,2,33,1,1,1,58.125,80,60.0
297,3,68,0,1,1,45.625,70,53.3333333333333
298,3,34,1,1,0,43.75,60,9.83333333333333
299,0,26,0,1,0,35.75,25,53.6666666666667
300,2,49,1,0,0,41.875,40,22.1666666666667
301,2,40,0,0,1,40.0,40,55.8333333333333
302,2,67,1,1,1,68.75,75,41.6666666666667
303,3,55,1,1,0,21.875,50,63.3333333333333
304,3,65,1,0,0,48.25,20,65.8333333333333
305,2,36,0,0,1,31.25,25,39.3333333333333
306,2,44,1,1,0,53.75,50,66.6666666666667
307,3,48,0,1,1,43.75,0,58.3333333333333
308,1,21,0,0,0,25.0,0,83.3333333333333
309,2,56,0,1,0,48.75,50,30.3333333333333
310,2,29,0,0,1,37.75,75,46.8333333333333
311,2,49,1,0,0,57.5,80,59.1666666666667
312,2,43,0,0,1,43.25,33,48.1666666666667
313,1,29,0,0,0,53.75,50,54.1666666666667
314,1,37,0,1,1,36.875,45,35.8333333333333
315,2,29,1,1,0,38.125,20,42.5
316,3,26,1,0,0,50.625,50,54.1666666666667
317,2,33,0,1,1,40.625,50,45.8333333333333
318,2,32,0,1,1,51.875,50,79.1666666666667
319,3,40,0,0,1,22.125,35,45.0
320,1,25,0,1,1,52.625,95,50.6666666666667
321,1,30,0,1,1,51.25,75,39.0
322,2,24,0,0,1,45.0,50,47.5
323,2,36,0,1,0,18.75,10,56.6666666666667
324,3,45,0,1,0,43.75,50,38.8333333333333
325,1,67,1,1,1,58.75,50,66.6666666666667
326,2,28,0,1,0,51.125,55,54.1666666666667
327,3,39,0,1,1,53.125,70,42.1666666666667
328,2,30,0,0,0,59.5,54,45.0
329,2,33,1,0,0,43.75,50,36.0
330,2,29,0,0,0,55.625,80,60.0
331,3,26,0,0,1,15.0,20,32.5
332,2,38,0,1,0,48.75,50,53.3333333333333
333,2,41,0,1,0,29.375,30,54.1666666666667
334,3,36,1,1,1,34.375,0,26.3333333333333
335,0,41,1,1,1,61.625,65,50.0
336,0,27,0,0,0,2.125,1,1.0
337,2,22,1,0,1,27.5,40,26.6666666666667
338,0,32,0,0,0,55.625,75,55.0
339,0,26,1,0,0,61.25,90,80.0
340,0,57,1,0,1,35.625,55,33.3333333333333
341,1,21,1,0,1,70.625,80,67.0
342,2,49,0,1,1,46.25,60,65.0
343,2,48,1,1,0,50.0,50,35.0
344,0,23,0,0,1,37.5,50,75.0
345,3,38,0,1,0,41.25,50,62.8333333333333
346,3,61,1,1,0,58.125,50,86.5
347,2,35,1,0,0,11.25,10,15.0
348,1,38,1,1,0,38.75,40,55.0
349,0,57,1,0,0,69.375,95,70.0
350,1,19,0,1,1,50.0,50,49.5
351,2,65,0,1,0,50.625,50,60.0
352,0,58,1,1,0,50.625,60,65.0
353,2,30,1,1,1,43.75,50,42.5
354,2,26,0,1,1,61.875,80,56.6666666666667
355,2,27,1,1,0,46.875,75,22.5
356,3,29,0,1,1,63.75,70,65.0
357,1,40,1,1,0,27.5,20,30.0
358,2,25,1,1,0,57.5,80,36.6666666666667
359,2,40,1,1,0,46.875,50,71.6666666666667
360,1,35,0,0,0,63.125,90,64.1666666666667
361,1,39,1,1,0,47.5,80,57.5
362,2,43,0,1,1,49.375,50,60.0
363,2,53,0,0,1,43.75,60,65.0
364,1,20,1,1,0,41.25,40,43.3333333333333
365,2,26,1,1,0,52.5,80,3.33333333333333
366,2,46,1,1,0,63.75,70,60.8333333333333
367,2,43,1,1,1,53.5,60,69.1666666666667
368,2,36,0,1,0,28.125,0,2.0
369,1,20,0,0,0,55.0,50,46.6666666666667
370,0,52,0,0,1,34.375,45,40.8333333333333
371,1,20,1,1,1,49.375,65,30.8333333333333
372,1,22,1,0,0,36.25,30,43.3333333333333
373,3,62,1,0,0,51.25,75,41.8333333333333
374,2,23,1,0,0,66.25,100,83.3333333333333
375,1,35,1,1,1,62.5,50,48.3333333333333
376,2,25,0,0,1,71.25,90,33.6666666666667
377,1,38,0,1,0,30.0,30,28.0
378,2,37,0,1,1,55.0,60,49.1666666666667
379,3,35,0,0,1,60.625,75,71.6666666666667
380,3,50,0,0,1,33.75,30,36.6666666666667
381,1,35,1,0,0,15.625,0,11.3333333333333
382,1,46,1,0,1,55.0,80,63.3333333333333
