,phase,character,idusers,idnetwork,hint_cloth,hint_col,hat_guess,shirt_guess,pant_guess,shoe_guess,glove_guess,hat,shirt,pant,shoe,glove,score_hat,score_shirt,score_pant,score_shoe,score_glove,score,num_corrects,num_mistakes,grey,winner,grp_act_num,grp_num_corrects,grp_num_mistakes,pos
241,1.0,Darren,1742,2,pantaloni,rosso,4.0,3.0,1.0,6.0,6.0,4,3,1,6,8,10.0,10.0,10.0,10.0,-5.0,35.0,4.0,1.0,0.0,1.0,5.0,14.0,2.0,c
248,1.0,Johnnie,2086,2,scarpe,giallo,9.0,6.0,10.0,3.0,10.0,9,6,6,3,9,10.0,10.0,0.0,10.0,0.0,30.0,3.0,0.0,2.0,0.0,5.0,14.0,0.0,c
249,1.0,Ben,713,2,felpa,giallo,1.0,5.0,6.0,9.0,1.0,9,3,6,9,3,-5.0,-5.0,10.0,10.0,-5.0,5.0,2.0,3.0,0.0,0.0,5.0,13.0,8.0,c
250,1.0,Jeffrey,1263,2,pantaloni,violetto,3.0,3.0,7.0,6.0,2.0,3,3,7,6,2,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,c
252,1.0,Emiliano,1118,2,guanti,nero,10.0,6.0,10.0,8.0,9.0,3,6,9,8,9,0.0,10.0,0.0,10.0,10.0,30.0,3.0,0.0,2.0,0.0,5.0,14.0,4.0,c
253,1.0,Mirco,2064,2,felpa,celeste,7.0,6.0,4.0,1.0,3.0,7,6,4,1,3,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,24.0,1.0,c
254,1.0,Isaac,675,2,pantaloni,arancione,7.0,1.0,2.0,8.0,9.0,7,2,2,6,9,10.0,-5.0,10.0,-5.0,10.0,20.0,3.0,2.0,0.0,1.0,5.0,11.0,10.0,c
263,1.0,Johnnie,2063,2,felpa,celeste,9.0,6.0,10.0,3.0,10.0,9,6,6,3,9,10.0,10.0,0.0,10.0,0.0,30.0,3.0,0.0,2.0,0.0,5.0,14.0,0.0,d
268,1.0,Mirco,2059,2,pantaloni,verde,5.0,6.0,4.0,1.0,3.0,7,6,4,1,3,-5.0,10.0,10.0,10.0,10.0,35.0,4.0,1.0,0.0,0.0,5.0,24.0,1.0,d
270,1.0,Jeffrey,367,2,scarpe,celeste,3.0,3.0,7.0,6.0,2.0,3,3,7,6,2,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,d
271,1.0,Darren,1670,2,cappello,verde,4.0,10.0,10.0,10.0,10.0,4,3,1,6,8,10.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,0.0,5.0,14.0,2.0,d
272,1.0,Emiliano,1132,2,felpa,celeste,10.0,6.0,10.0,8.0,9.0,3,6,9,8,9,0.0,10.0,0.0,10.0,10.0,30.0,3.0,0.0,2.0,0.0,5.0,14.0,4.0,d
274,1.0,Roger,998,2,scarpe,rosso,7.0,3.0,5.0,1.0,9.0,7,3,5,1,9,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,d
276,1.0,Clinton,171,2,felpa,rosso,10.0,1.0,10.0,4.0,1.0,2,1,8,4,1,0.0,10.0,0.0,10.0,10.0,30.0,3.0,0.0,2.0,0.0,5.0,21.0,0.0,d
279,1.0,Isaac,1120,2,guanti,nero,7.0,8.0,2.0,1.0,9.0,7,2,2,6,9,10.0,-5.0,10.0,-5.0,10.0,20.0,3.0,2.0,0.0,1.0,5.0,11.0,10.0,d
280,1.0,Ben,381,2,scarpe,nero,9.0,10.0,6.0,9.0,10.0,9,3,6,9,3,10.0,0.0,10.0,10.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,13.0,8.0,d
288,1.0,Emiliano,1114,2,scarpe,bianco,3.0,6.0,5.0,8.0,9.0,3,6,9,8,9,10.0,10.0,-5.0,10.0,10.0,35.0,4.0,1.0,0.0,1.0,5.0,14.0,4.0,e
290,1.0,Mirco,2117,2,guanti,giallo,7.0,6.0,4.0,1.0,3.0,7,6,4,1,3,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,24.0,1.0,e
293,1.0,Isaac,1273,2,cappello,violetto,7.0,1.0,2.0,8.0,9.0,7,2,2,6,9,10.0,-5.0,10.0,-5.0,10.0,20.0,3.0,2.0,0.0,1.0,5.0,11.0,10.0,e
299,1.0,Ben,383,2,pantaloni,celeste,9.0,10.0,6.0,9.0,10.0,9,3,6,9,3,10.0,0.0,10.0,10.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,13.0,8.0,e
302,1.0,Roger,991,2,pantaloni,blu,7.0,3.0,5.0,1.0,9.0,7,3,5,1,9,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,e
303,1.0,Clinton,928,2,guanti,rosso,2.0,1.0,8.0,4.0,1.0,2,1,8,4,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,21.0,0.0,e
305,1.0,Johnnie,2078,2,cappello,nero,9.0,6.0,6.0,3.0,10.0,9,6,6,3,9,10.0,10.0,10.0,10.0,0.0,40.0,4.0,0.0,1.0,1.0,5.0,14.0,0.0,e
312,1.0,Darren,1744,2,scarpe,celeste,4.0,3.0,1.0,6.0,2.0,4,3,1,6,8,10.0,10.0,10.0,10.0,-5.0,35.0,4.0,1.0,0.0,1.0,5.0,14.0,2.0,e
316,1.0,Jeffrey,351,2,guanti,arancione,3.0,3.0,7.0,6.0,2.0,3,3,7,6,2,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,e
320,1.0,Nicodemo,1993,3,cappello,rosso,1.0,3.0,7.0,7.0,3.0,1,3,7,7,8,10.0,10.0,10.0,10.0,-5.0,35.0,4.0,1.0,0.0,0.0,5.0,21.0,2.0,a
325,1.0,Federico,2099,3,scarpe,celeste,4.0,6.0,5.0,3.0,4.0,4,6,5,6,4,10.0,10.0,10.0,-5.0,10.0,35.0,4.0,1.0,0.0,1.0,5.0,18.0,4.0,a
330,1.0,Thomas,1873,3,cappello,giallo,3.0,4.0,4.0,5.0,1.0,3,4,4,5,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,a
331,1.0,Randall,2083,3,felpa,arancione,10.0,2.0,10.0,10.0,10.0,3,2,8,8,7,0.0,10.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,0.0,5.0,14.0,3.0,a
333,1.0,Giordano,147,3,pantaloni,violetto,5.0,3.0,7.0,9.0,1.0,5,3,7,9,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,a
336,1.0,Alessandro,1919,3,felpa,celeste,6.0,6.0,3.0,8.0,8.0,6,6,3,8,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,20.0,1.0,a
337,1.0,Guy,1258,3,felpa,celeste,10.0,4.0,5.0,10.0,10.0,2,6,9,5,6,0.0,-5.0,-5.0,0.0,0.0,-10.0,0.0,2.0,3.0,0.0,5.0,16.0,2.0,a
338,1.0,Harvey,21,3,cappello,nero,9.0,4.0,10.0,10.0,10.0,9,4,1,1,1,10.0,10.0,0.0,0.0,0.0,20.0,2.0,0.0,3.0,1.0,5.0,9.0,2.0,a
341,1.0,Giorgio,176,3,cappello,nero,9.0,10.0,3.0,7.0,8.0,9,3,3,7,8,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,17.0,2.0,a
342,1.0,Alvin,2106,3,pantaloni,rosso,8.0,10.0,1.0,6.0,8.0,8,8,1,6,8,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,13.0,6.0,a
345,1.0,Maurice,1964,3,pantaloni,violetto,6.0,4.0,7.0,1.0,2.0,6,5,7,9,8,10.0,-5.0,10.0,-5.0,-5.0,5.0,2.0,3.0,0.0,0.0,5.0,17.0,5.0,a
347,1.0,Carmine,386,3,felpa,rosso,1.0,1.0,5.0,8.0,9.0,1,1,4,8,6,10.0,10.0,-5.0,10.0,-5.0,20.0,3.0,2.0,0.0,0.0,5.0,13.0,3.0,a
349,1.0,Wade,963,3,scarpe,verde,6.0,10.0,4.0,4.0,10.0,6,4,4,4,2,10.0,0.0,10.0,10.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,14.0,0.0,a
354,1.0,Manolo,1706,3,cappello,bianco,8.0,5.0,3.0,3.0,4.0,8,5,3,7,4,10.0,10.0,10.0,-5.0,10.0,35.0,4.0,1.0,0.0,0.0,5.0,16.0,5.0,a
357,1.0,Alessandro,2048,3,scarpe,bianco,6.0,6.0,3.0,8.0,8.0,6,6,3,8,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,20.0,1.0,b
360,1.0,Wade,965,3,pantaloni,verde,6.0,10.0,4.0,4.0,10.0,6,4,4,4,2,10.0,0.0,10.0,10.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,14.0,0.0,b
363,1.0,Giorgio,182,3,guanti,bianco,9.0,10.0,3.0,7.0,8.0,9,3,3,7,8,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,17.0,2.0,b
364,1.0,Giordano,932,3,guanti,rosso,5.0,3.0,7.0,9.0,1.0,5,3,7,9,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,b
370,1.0,Guy,897,3,guanti,celeste,2.0,10.0,9.0,5.0,6.0,2,6,9,5,6,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,16.0,2.0,b
372,1.0,Federico,2107,3,cappello,verde,4.0,6.0,5.0,3.0,4.0,4,6,5,6,4,10.0,10.0,10.0,-5.0,10.0,35.0,4.0,1.0,0.0,1.0,5.0,18.0,4.0,b
373,1.0,Randall,2087,3,cappello,giallo,3.0,4.0,8.0,8.0,7.0,3,2,8,8,7,10.0,-5.0,10.0,10.0,10.0,35.0,4.0,1.0,0.0,1.0,5.0,14.0,3.0,b
374,1.0,Thomas,1720,3,pantaloni,verde,3.0,4.0,4.0,5.0,1.0,3,4,4,5,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,b
377,1.0,Harvey,10,3,felpa,verde,9.0,4.0,10.0,10.0,10.0,9,4,1,1,1,10.0,10.0,0.0,0.0,0.0,20.0,2.0,0.0,3.0,1.0,5.0,9.0,2.0,b
379,1.0,Maurice,1961,3,cappello,celeste,6.0,5.0,7.0,9.0,8.0,6,5,7,9,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,17.0,5.0,b
384,1.0,Alvin,2118,3,scarpe,celeste,8.0,10.0,1.0,6.0,8.0,8,8,1,6,8,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,13.0,6.0,b
388,1.0,Nicodemo,1940,3,scarpe,violetto,1.0,3.0,7.0,7.0,3.0,1,3,7,7,8,10.0,10.0,10.0,10.0,-5.0,35.0,4.0,1.0,0.0,0.0,5.0,21.0,2.0,b
389,1.0,Manolo,1892,3,scarpe,violetto,8.0,5.0,3.0,7.0,10.0,8,5,3,7,4,10.0,10.0,10.0,10.0,0.0,40.0,4.0,0.0,1.0,1.0,5.0,16.0,5.0,b
391,1.0,Carmine,393,3,scarpe,bianco,1.0,1.0,10.0,8.0,10.0,1,1,4,8,6,10.0,10.0,0.0,10.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,13.0,3.0,b
395,1.0,Giorgio,334,3,pantaloni,giallo,9.0,2.0,3.0,7.0,8.0,9,3,3,7,8,10.0,-5.0,10.0,10.0,10.0,35.0,4.0,1.0,0.0,0.0,5.0,17.0,2.0,c
400,1.0,Randall,2061,3,scarpe,bianco,10.0,10.0,10.0,8.0,10.0,3,2,8,8,7,0.0,0.0,0.0,10.0,0.0,10.0,1.0,0.0,4.0,0.0,5.0,14.0,3.0,c
401,1.0,Thomas,1960,3,guanti,rosso,3.0,4.0,4.0,5.0,1.0,3,4,4,5,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,c
402,1.0,Alvin,2072,3,cappello,bianco,8.0,10.0,6.0,10.0,8.0,8,8,1,6,8,10.0,0.0,-5.0,0.0,10.0,15.0,2.0,1.0,2.0,0.0,5.0,13.0,6.0,c
